Cuillère à soupe,,,,,,,,2525.7873,,,100,pce,10 paquets de 100 pièces,,,,,0.05,,pièce,, -   ,,0,,2000.000,0.007,TRUE,,,,,,
Fourchette,,,,,,,,2525.7874,,,100,pce,10 paquets de 100 pièces,,,,,0.05,,pièce,, -   ,,0,,2000.000,0.007,TRUE,,,,,,
Gobelet isotherme - 1.8 dl ,,,,,,,,2545.4921,,,50,pce,20 paquets de 50 pièces,,,,,0.07,,pièce,, -   ,,0,,3000.000,0.005,TRUE,,,,,,
Gobelet isotherme - 3 dl ,,,,,,,,2545.4922,,,50,pce,20 paquets de 50 pièces,,,,,0.08,,pièce,, -   ,,0,,3000.000,0.005,TRUE,,,,,,
"Rouleau de nappe en papier (brun, recyclé)",,,,,,,,2583.5344,,,1,roul,1 rouleau de 100 m x 120 cm,,,,,20.00,,rouleau,, -   ,,0,,12.000,6.250,TRUE,,,,,,
Boissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boisson au cacao en portion,,,,,,,,2577.8686,,,100,port,Carton de 100 portions à 32 g,,,,,0.22,,portion,, -   ,,0,,1000.000,0.035,TRUE,,,,,,
Boisson au malt en portion,,,,,,,,2582.5659,,,50,port,Carton de 50 portion à 28 g,,,,,0.22,,portion,, -   ,,0,,1000.000,0.032,TRUE,,,,,,
Boisson isotonique en portion (citron / orange),,,,,,,,2577.8697,,,100,port,Carton de 100 portions à 42 g,,,,,0.55,,portion,, -   ,,0,,1000.000,0.045,TRUE,,,,,,
Café en portion,,,,,,,,2577.8688,,,100,port,Carton de 100 portions à 2 g,,,,,0.22,,portion,, -   ,,0,,1000.000,0.003,TRUE,,,,,,
Thé froid en portions (pêche et fruits),,,,,,,,2577.8687,,,100,port,Carton de 100 portions à 17 g,,,,,0.22,,portion,, -   ,,0,,1000.000,0.019,TRUE,,,,,,
Thé aux fruits,,,,,,,,2578.2651,,,1,car,50 sachets de 10 l (500 l total),,,,,39.60,,carton,, -   ,,0,,4.000,3.930,TRUE,,,,,,
Thé fraise-framboise,,,,,,,,2578.2650,,,1,car,50 sachets de 10 l (500 l total),,,,,46.90,,carton,, -   ,,0,,4.000,3.930,TRUE,,,,,,
Thé noir,,,,,,,,2578.2654,,,1,car,50 sachets de 10 l (500 l total),,,,,35.00,,carton,, -   ,,0,,4.000,3.930,TRUE,,,,,,
Thé pomme-pêche,,,,,,,,2578.2649,,,1,car,50 sachets de 10 l (500 l total),,,,,42.90,,carton,, -   ,,0,,4.000,3.930,TRUE,,,,,,
Produits auxiliaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouillon de bœuf,,,,,,,,2701.3787,,,1,bte,6 boîtes de 1.000 kg = 45 l/bte,,,,,4.25,,boîte,, -   ,,0,,30.000,1.200,TRUE,,,,,,
Bouillon de légumes,,,,,,,,2701.3786,,,6,bte,6 boîtes de 0.800 kg = 40 l/bte,,,,,3.50,,boîte,, -   ,,0,,30.000,0.900,TRUE,,,,,,
Condiment en poudre pour viande,,,,,,,,2582.9887,,,4,bte,4 boîtes de 1.100 kg,,,,,5.90,,boîte,, -   ,,0,,20.000,1.300,TRUE,,,,,,
Extrait de tomates,,,,,,,,2119.3884,,,12,bte,12 boîtes de 870 g,,,,,2.50,,boîte,, -   ,,0,,120.000,0.900,TRUE,,,,,,
Huile comestible (chaude / froide),,,,,,,,2119.3888,,,4,bou,4 bouteilles de 3 l,,,,,9.90,,bouteille,, -   ,,0,,40.000,3.050,TRUE,,,,,,
Ketchup,,,,,,,,2551.8766,,,12,bou,12 bouteilles de 500 g,,,,,1.65,,bouteille,, -   ,,0,,120.000,0.560,TRUE,,,,,,
Maizena express claire,,,,,,,,2527.1863,,,4,paq,4 paquets de 1.000 kg,,,,,4.30,,paquet,, -   ,,0,,60.000,1.090,TRUE,,,,,,
Mayonnaise,,,,,,,,2527.1856,,,1,bid,Bidon de 4.500 kg,,,,,14.95,,bidon,, -   ,,0,,10.000,5.000,TRUE,,,,,,
Mélange pour pâtisserie (masse à cake),,,,,,,,2527.1660,,,1,bid,Bidon de 3.000 kg,,,,,18.05,,bidon,, -   ,,0,,20.000,3.100,TRUE,,,,,,
Moutarde mi-forte,,,,,,,,2568.1944,,,8,bou,8 bouteilles de 700 ml / 756 g,,,,,2.10,,bouteille,, -   ,,0,,80.000,0.800,TRUE,,,,,,
Poudre à crème universelle,,,,,,,,2561.7026,,,3,sach,3 sachets de 1.500 kg,,,,,7.45,,sachet,, -   ,,0,,30.000,1.550,TRUE,,,,,,
Sauce à salade balsamico,,,,,,,,2584.7820,,,4,bou,4 bouteilles de 3 l,,,,,7.30,,bouteille,, -   ,,0,,28.000,3.200,TRUE,,,,,,
Sauce à salade française,,,,,,,,2561.6399,,,6,bou,6 bouteilles de 2 l,,,,,4.00,,bouteille,, -   ,,0,,30.000,2.100,TRUE,,,,,,
Sauce de rôti liée,,,,,,,,2119.3867,,,6,bte,6 boîtes de 800 g,,,,,4.10,,boîte,, -   ,,0,,60.000,1.100,TRUE,,,,,,
Sel de cuisine iodé / fluoré,,,,,,,,2525.8149,,,10,paq,10 paquets de 1.000 kg,,,,,0.88,,paquet,, -   ,,0,,100.000,1.030,TRUE,,,,,,
Sucre cristallisé,,,,,,,,2119.3890,,,10,sach,10 sachets de 1.000 kg,,,,,1.10,,sachets,, -   ,,0,,500.000,1.010,TRUE,,,,,,
Sucre cristallisé (en vrac de 15 kg pour cuisines pl d'armes),,,,,,,,2701.3785,,,15,kg,1 vrac de 15 kg,,,,,1.10,,kg,, -   ,,0,,510.000,1.010,TRUE,,,,,,
Sucre en bâtonnet (stick),,,,,,,,2561.0264,,,1,paq,1 paquet à 100 bâtonnets de 5 g,,,,,2.15,,paquet,, -   ,,0,,30.000,0.550,TRUE,,,,,,
Tomates concassées,,,,,,,,2525.8146,,,6,bte,6 boîtes de 2.500 kg,,,,,3.90,,boîte,, -   ,,0,,60.000,2.800,TRUE,,,,,,
Velouté blanc,,,,,,,,2557.0174,,,2,sach,2 sachets de 4.000 kg,,,,,15.35,,sachet,, -   ,,0,,20.000,4.200,TRUE,,,,,,
Vin de cuisine blanc,,,,,,,,2582.9888,,,1,box,Vinibox de 3 l,,,,,6.00,,box,, -   ,,0,,25.000,3.100,TRUE,,,,,,
Vin de cuisine rouge,,,,,,,,2582.9889,,,1,box,Vinibox de 3 l,,,,,6.15,,box,, -   ,,0,,25.000,3.100,TRUE,,,,,,
Articles pour petit-déjeuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confiture en portion,,,,,,,,2119.3894,,,120,port,Carton de 120 portions à 25 g,,,,,0.13,,portion,, -   ,,0,,2400.000,0.028,TRUE,,,,,,
Produit à tartiner aux noisettes en portion,,,,,,,,2527.1674,,,120,port,Carton de 120 portions à 25 g,,,,,0.22,,portion,, -   ,,0,,2400.000,0.028,TRUE,,,,,,
Muesli aux fruits (portion),,,,,,,,2583.5346,,,48,sach,Carton de 48 sachets de 50 g,,,,,0.45,,sachet,, -   ,,0,,672.000,0.055,TRUE,,,,,,
Muesli aux protéines (portion),,,,,,,,2583.5350,,,48,sach,Carton de 48 sachets de 50 g,,,,,0.45,,sachet,, -   ,,0,,672.000,0.055,TRUE,,,,,,
Muesli chocolat (portion),,,,,,,,2583.5347,,,48,sach,Carton de 48 sachets de 50 g,,,,,0.45,,sachet,, -   ,,0,,672.000,0.055,TRUE,,,,,,
Protéines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emincé de soja (boulette),,,,,,,,2582.5022,,,6,paq,6 paquets de 0.750 kg ,,,,,7.20,,paquet,, -   ,,0,,42.000,0.900,TRUE,,,,,,
Haché de soja,,,,,,,,2582.5021,,,6,paq,6 paquets de 1.000 kg ,,,,,9.10,,paquet,, -   ,,0,,30.000,1.100,TRUE,,,,,,
Thon en sachet,,,,,,,,2556.0584,,,4,sach,4 sachets de 3.000 kg,,,,,21.55,,sachet,, -   ,,0,,80.000,3.100,TRUE,,,,,,
Tofu fumé,,,,,,,,2700.0490,,,8,pce,8 pièces de 500 g,,,,,3.50,,pièce,, -   ,,0,,80.000,0.550,TRUE,,,,,,
Tofu nature,,,,,,,,2701.3788,,,8,pce,8 pièces de 500 g,,,,,3.50,,pièce,, -   ,,0,,80.000,0.550,TRUE,,,,,,
Hydrates de carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquillettes tricolores,,,,,,,,2525.8142,,,10,kg,Carton de 10.000 kg,,,,,2.49,,kg,, -   ,,0,,200.000,1.100,TRUE,,,,,,
Cornettes aux oeufs,,,,,,,,2119.3872,,,10,kg,Carton de 10.000 kg,,,,,2.53,,kg,, -   ,,0,,200.000,1.100,TRUE,,,,,,
Couscous,,,,,,,,2578.2648,,,1,sac,Sac de 5.000 kg,,,,,9.25,,sac,, -   ,,0,,10.000,5.050,TRUE,,,,,,
Gnocchi,,,,,,,,2569.7637,,,4,sach,4 sachets de 2.500 kg,,,,,6.10,,sachet,, -   ,,0,,120.000,2.700,TRUE,,,,,,
Macaroni,,,,,,,,2514.2601,,,10,kg,Carton de 10.000 kg,,,,,2.53,,kg,, -   ,,0,,200.000,1.100,TRUE,,,,,,
Maïs doux en grains,,,,,,,,2525.8091,,,6,bte,6 boîtes de 1.770 kg égoutté,,,,,3.65,,boîte,, -   ,,0,,60.000,1.900,TRUE,,,,,,
Purée de pommes de terres en poudre,,,,,,,,2504.0993,,,5,sach,5 sachets de 1.000 kg,,,,,5.91,,sachet,, -   ,,0,,50.000,1.100,TRUE,,,,,,
Riz pour risotto parboiled,,,,,,,,2582.9893,,,5,kg,Sac de 5.000 kg,,,,,1.40,,kg,, -   ,,0,,200.000,1.010,TRUE,,,,,,
Riz pour riz sec,,,,,,,,2582.9892,,,5,kg,Sac de 5.000 kg,,,,,1.00,,kg,, -   ,,0,,200.000,1.010,TRUE,,,,,,
Rœsti prêt à cuire,,,,,,,,2549.7570,,,4,sach,4 sachets de 2.500 kg,,,,,6.20,,sachet,, -   ,,0,,80.000,2.600,TRUE,,,,,,
Semoule de maïs,,,,,,,,2119.3878,,,6,sach,6 paquets de 1.000 kg,,,,,1.45,,sachet,, -   ,,0,,60.000,1.100,TRUE,,,,,,
Spaghettis,,,,,,,,2119.3873,,,10,kg,Carton de 10.000 kg,,,,,1.75,,kg,, -   ,,0,,200.000,1.100,TRUE,,,,,,
Spirales complète ,,,,,,,,2584.5262,,,10,kg,Carton de 10.000 kg,,,,,2.62,,kg,, -   ,,0,,200.000,1.100,TRUE,,,,,,
Vitamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananas en tranches au jus (50-60 tranches / bte),,,,,,,,2582.5018,,,6,bte,6 boîtes de 1.790 kg égoutté,,,,,6.10,,boîte,, -   ,,0,,60.000,2.100,TRUE,,,,,,
Purée de pommes en portion,,,,,,,,2577.8679,,,120,port,Carton de 120 portions à 100 g,,,,,0.28,,portion,, -   ,,0,,1200.000,0.120,TRUE,,,,,,
Conserve de petits-pois et carottes,,,,,,,,2524.5697,,,6,bte,6 boîtes de 1.850 kg égoutté,,,,,7.10,,boîte,, -   ,,0,,60.000,2.100,TRUE,,,,,,
Cocktail de fruits au sirop,,,,,,,,2582.5020,,,6,bte,6 boîtes de 1.800 kg égoutté,,,,,9.80,,boîte,, -   ,,0,,60.000,2.100,TRUE,,,,,,
Conserve de salade de betteraves,,,,,,,,2545.4873,,,6,bte,6 boîtes de 1.900 kg égoutté,,,,,5.40,,boîte,, -   ,,0,,60.000,2.100,TRUE,,,,,,
Salade en boîte (3 x mexicaine et 3 x russe),,,,,,,,2584.5458,,,6,bte,3 bte à 2.000 kg (m) 1.850 kg (r),,,,,9.50,,boîte,, -   ,,0,,60.000,3.200,TRUE,,,,,,
Composantes pour la subsistance individuelle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de viande,,,,,,,,2119.3820,,,50,pce,50 conserves de 75 g,,,,,0.66,,pièce,, -   ,,0,,1000.000,0.090,TRUE,,,,,,
Crème sandwich au poulet,,,,,,,,2584.0760,,,50,tube,50 tubes de 50 g,,,,,0.82,,tube,, -   ,,0,,1000.000,0.055,TRUE,,,,,,
Pate à tartiner mediterranée (végane),,,,,,,,2702.4706,,,48,St,48 Tuben à 100 g,,,,,1.15,,tube,, -   ,,0,,480.000,0.115,TRUE,,,,,,
Chili con carne,,,,,,,,2119.3825,,,24,bte,24 boîtes de 400 g,,,,,3.90,,boîte,, -   ,,0,,960.000,0.550,TRUE,,,,,,
Ravioli,,,,,,,,2119.3831,,,12,bte,12 boîtes de 1.170 kg,,,,,3.10,,boîte,, -   ,,0,,240.000,1.250,TRUE,,,,,,
Ration spéciale petit-déjeuner (assortis),,,,,,,,2582.3632,,,40,port,Carton de 40 portions,,,,,1.50,,portion,, -   ,,0,,960.000,0.155,TRUE,,,,,,
Ration spéciale repas principal (assortis),,,,,,,,2582.3633,,,40,port,Carton de 40 portions,,,,,2.00,,portion,, -   ,,0,,960.000,0.155,TRUE,,,,,,
Ration spéciale repas principal végétarien,,,,,,,,2701.4131,,,40,port,Carton de 2 variantes à 20 sachets,,,,,2.00,,portion,, -   ,,0,,960.000,0.155,TRUE,,,,,,
Crème dessert chocolat en portions,,,,,,,,2577.8698,,,48,bte,48 boîtes de 210 g,,,,,1.45,,boîte,, -   ,,0,,960.000,0.225,TRUE,,,,,,
Snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barre au malt,,,,,,,,2569.7644,,,120,pce,120 pièces de 20 g,,,,,0.42,,pièce,, -   ,,0,,2400.000,0.024,TRUE,,,,,,
Barre de céréales au miel,,,,,,,,2119.3906,,,100,pce,100 pièces de 20 g,,,,,0.16,,pièce,, -   ,,0,,2000.000,0.025,TRUE,,,,,,
Barre de céréales aux fruits assortis,,,,,,,,2583.0108,,,100,pce,100 pièces de 20 g (4 arômes),,,,,0.18,,pièce,, -   ,,0,,4000.000,0.025,TRUE,,,,,,
Biscuit militaire 50gr,,,,,,,,2585.3341,,,72,paq,72 paquets de 50 g,,,,,0.35,,pièce,, -   ,,0,,1440.000,0.055,TRUE,,,,,,
Bretzeli,,,,,,,,2521.4338,,,54,paq,54 paquets de 40 g,,,,,0.65,,paquet,, -   ,,0,,1080.000,0.050,TRUE,,,,,,
Chocolat militaire,,,,,,,,2119.3895,,,48,pce,48 pièces de 50 g ,,,,,0.35,,pièce,, -   ,,0,,2400.000,0.055,TRUE,,,,,,
Cracker (assortis),,,,,,,,2567.5158,,,100,paq,100 paquets de 46 g,,,,,0.45,,paquet,, -   ,,0,,2000.000,0.060,TRUE,,,,,,
Gomme à mâcher dentaire à la menthe,,,,,,,,2527.5246,,,800,pce,8 sachets de 100 pièces,,,,,0.07,,pièce,, -   ,,0,,8000.000,0.004,TRUE,,,,,,
Leckerli,,,,,,,,2524.5717,,,50,paq,50 paquets de 35 g,,,,,0.56,,paquet,, -   ,,0,,1000.000,0.055,TRUE,,,,,,
Mélange de fruits (assortis),,,,,,,,2583.0106,,,100,paq,100 paquets de 30 g,,,,,0.49,,paquet,, -   ,,0,,2000.000,0.035,TRUE,,,,,,
Mélange de noix salé (assortis),,,,,,,,2583.0107,,,100,paq,100 paquets de 50 g,,,,,0.44,,paquet,, -   ,,0,,2000.000,0.056,TRUE,,,,,,
Snack au salami (volaille),,,,,,,,2577.8694,,,100,pce,100 pièces de 50 g,,,,,1.16,,pièce,, -   ,,0,,1000.000,0.055,TRUE,,,,,,
Sucre de raisin,,,,,,,,2524.5714,,,100,sach,100 sachets de 25 g,,,,,0.17,,sachet,, -   ,,0,,2000.000,0.028,TRUE,,,,,,
Swiss Choco Bits,,,,,,,,2545.4912,,,50,sach,50 sachets de 30 g,,,,,0.45,,sachet,, -   ,,0,,2000.000,0.035,TRUE,,,,,,
Estimation de la quantité commandée : 0.0 jours,,,,,,,,,,,,,Montant total de la commande & poids total,,,,,,, CHF -   ,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commettant et destinataire du mail pour confirmation, facture et note de crédit",,,,,,,,,,,,,Remarques,,,,,,,,,,,,,,,,,,,,,
"Grade, nom et prénom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPA, lieu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tél privé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tél PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
